fips,county,state,base_cancer,base_neuro,base_amr,w_pm25,w_poverty,w_access,pm25,poverty,access
05037,Cross,AR,0.5,0.5,0.5421555555555556,1.0,0.8,-0.7,,0.9407772979642202,0.878
05039,Dallas,AR,0.5,0.5,0.6166333333333334,1.0,0.8,-0.7,,0.7680444170265276,0.889
05041,Desha,AR,0.5,0.5,0.748,1.0,0.8,-0.7,,1.0,0.84
05043,Drew,AR,0.5,0.5,0.47155555555555534,1.0,0.8,-0.7,,0.8019740900678596,0.88
05045,Faulkner,AR,0.5,0.5,0.12063333333333337,1.0,0.8,-0.7,,0.4256631708821718,0.909
05047,Franklin,AR,0.5,0.5,0.42338888888888876,1.0,0.8,-0.7,,0.7248611967921036,0.885
05049,Fulton,AR,0.5,0.5,0.6172333333333334,1.0,0.8,-0.7,,0.8235657001850712,0.887
05051,Garland,AR,0.6141774051809659,0.7004725249041484,0.4353444444444444,1.0,0.8,-0.7,9.024876999999998,0.5860579888957439,0.897
05053,Grant,AR,0.5,0.5,0.21456666666666663,1.0,0.8,-0.7,,0.43491671807526233,0.907
05055,Greene,AR,0.5,0.5,0.25915555555555553,1.0,0.8,-0.7,,0.7063541024059226,0.888
05057,Hempstead,AR,0.5,0.5,0.5870444444444444,1.0,0.8,-0.7,,0.909932140653918,0.858
05059,Hot Spring,AR,0.5,0.5,0.36834444444444436,1.0,0.8,-0.7,,0.5922270203578043,0.887
05061,Howard,AR,0.5,0.5,0.47305555555555534,1.0,0.8,-0.7,,0.6570018507094391,0.875
05063,Independence,AR,0.5,0.5,0.3303555555555555,1.0,0.8,-0.7,,0.6693399136335599,0.884
05065,Izard,AR,0.5,0.5,0.5254,1.0,0.8,-0.7,,0.8173966687230111,0.882
05067,Jackson,AR,0.8617283985611073,0.7065780095774742,0.491911111111111,1.0,0.8,-0.7,7.7674164999999995,0.925354719309069,0.864
05069,Jefferson,AR,0.5,0.5,0.6585222222222222,1.0,0.8,-0.7,,0.9376927822331902,0.879
05071,Johnson,AR,0.5,0.5,0.4302888888888888,1.0,0.8,-0.7,,0.6138186304750157,0.862
05073,Lafayette,AR,0.5,0.5,0.7423,1.0,0.8,-0.7,,1.0,0.859
05075,Lawrence,AR,0.5,0.5,0.4081333333333333,1.0,0.8,-0.7,,0.8482418260333133,0.884
05077,Lee,AR,0.5,0.5,0.7474,1.0,0.8,-0.7,,1.0,0.842
05079,Lincoln,AR,0.5,0.5,0.3707666666666667,1.0,0.8,-0.7,,0.7988895743368295,0.853
05081,Little River,AR,0.5,0.5,0.5068444444444443,1.0,0.8,-0.7,,0.752621838371376,0.892
05083,Logan,AR,0.5,0.5,0.4051333333333333,1.0,0.8,-0.7,,0.6199876619370761,0.894
05085,Lonoke,AR,0.5,0.5,0.16162222222222225,1.0,0.8,-0.7,,0.40098704503393007,0.902
05087,Madison,AR,0.5,0.5,0.3716444444444444,1.0,0.8,-0.7,,0.7186921653300434,0.876
05089,Marion,AR,0.5,0.5,0.5603888888888886,1.0,0.8,-0.7,,0.6755089450956201,0.895
05091,Miller,AR,0.5,0.5,0.4799333333333333,1.0,0.8,-0.7,,0.6816779765576808,0.878
05093,Mississippi,AR,0.5,0.5,0.47305555555555534,1.0,0.8,-0.7,,0.9315237507711297,0.875
05095,Monroe,AR,0.5,0.5,0.7369,1.0,0.8,-0.7,,0.9654534238124619,0.877
05097,Montgomery,AR,0.5,0.5,0.5615888888888886,1.0,0.8,-0.7,,0.7618753855644665,0.891
05099,Nevada,AR,0.5,0.5,0.7138666666666665,1.0,0.8,-0.7,,0.9962985811227641,0.876
05101,Newton,AR,0.5,0.5,0.4736333333333333,1.0,0.8,-0.7,,0.6570018507094391,0.899
05103,Ouachita,AR,0.5,0.5,0.6638999999999998,1.0,0.8,-0.7,,0.8945095619987667,0.887
05105,Perry,AR,0.5,0.5,0.38059999999999994,1.0,0.8,-0.7,,0.6230721776681062,0.898
05107,Phillips,AR,0.5,0.5,0.7404999999999999,1.0,0.8,-0.7,,1.0,0.865
05109,Pike,AR,0.5,0.5,0.4075333333333333,1.0,0.8,-0.7,,0.6076495990129549,0.886
05111,Poinsett,AR,0.5,0.5,0.4266888888888888,1.0,0.8,-0.7,,0.8019740900678596,0.874
05113,Polk,AR,0.7806365256560049,0.787553315427155,0.4939888888888888,1.0,0.8,-0.7,8.789076,0.7310302282541643,0.883
05115,Pope,AR,0.5,0.5,0.27741111111111105,1.0,0.8,-0.7,,0.7186921653300434,0.879
05117,Prairie,AR,0.5,0.5,0.45957777777777764,1.0,0.8,-0.7,,0.687847008019741,0.894
